id,R_1,G_1,B_1,R_2,G_2,B_2,R_3,G_3,B_3,R_4,G_4,B_4,R_5,G_5,B_5,R_6,G_6,B_6,R_7,G_7,B_7,R_8,G_8,B_8,label
1,-1.079017,-0.260438,-0.202309,-2.315523,-3.437458,-3.354906,24.948885,1.695192,-0.553976,2.882932,-2.578995,-6.827339,-2.820083,-2.153441,-3.335415,2.313695,2.711093,-0.167464,-7.688057,-3.245841,-3.143859,-6.485555,-2.383618,-2.217686,1
2,-1.825334,-2.031962,-1.552812,3.056764,-0.016282,1.272629,22.779124,0.11369,-1.647396,14.578977,2.811889,-7.775813,-0.735203,-0.221691,-0.755869,-16.120631,-13.762932,0.076797,-29.302327,-10.54175,-1.786604,-16.380563,-12.006629,-3.461313,1
3,-1.780221,-0.060826,0.235793,-1.247018,-1.70464,-1.511906,22.993068,1.550532,-1.208258,-3.282845,-5.51663,-7.421163,-1.950251,-1.649254,-2.017091,-12.226425,-9.687921,-2.464723,-15.130486,-4.06807,-0.643278,-13.413053,-4.757222,-1.546895,1
4,0.163054,1.062417,0.793574,-0.110102,-1.980315,-1.089623,16.040678,0.207665,-0.412161,12.13913,7.171113,1.895049,-0.013144,0.676811,-0.06932,-3.148505,-1.187875,4.4353,-19.179542,-8.334127,-5.092498,-4.244295,-1.96592,1.121368,1
5,-1.354151,0.407831,0.34813,-2.686668,-2.896214,-3.232385,22.351894,2.146845,-0.520914,0.672947,-2.12533,-1.339564,-3.084057,-2.747023,-3.319336,-4.161578,-2.784108,-1.699895,-9.183924,-4.135597,-2.940363,-8.44507,-4.852215,-3.480451,1
6,-1.501414,0.773462,1.260438,-1.513252,-1.807138,-1.903768,23.194518,1.64231,-1.051313,-2.805213,-6.230147,-5.128562,-1.481225,-2.422561,-3.746849,-8.183417,-5.525329,-0.908312,-12.604379,-3.233747,-1.217091,-10.7151,-5.875681,-3.789659,1
7,-1.523764,0.280633,-0.238678,1.722527,0.970779,0.950542,20.561245,1.292374,-1.672089,1.827448,-1.187642,-3.425047,1.423434,-0.221014,-0.804788,-15.001192,-13.126688,-0.10172,-14.337477,-8.492343,-2.568352,-15.906174,-7.642292,-4.116226,1
8,-2.023487,0.014314,-0.38256,2.698535,2.327728,2.671017,19.879199,1.12192,-1.295908,2.942174,-0.117362,-1.209249,1.769061,0.166597,-0.297114,-10.058791,-7.024511,0.835164,-15.408736,-6.449015,-2.568187,-7.581054,-5.272995,-1.59752,1
9,-1.905922,0.612334,-0.669262,-0.536852,-0.638041,-0.802382,16.418915,1.645176,-0.234174,3.275793,0.437347,-0.212955,0.089401,-0.305203,-1.053426,-6.14428,-4.571097,-0.814927,-9.568749,-3.349848,-1.720287,-7.869275,-3.522549,-2.391608,1
10,0.127207,0.12041,0.367572,0.266238,-2.446248,-1.466132,16.484405,1.093051,-0.312759,10.31202,6.237755,0.820679,-3.194482,-3.123432,-3.251539,-11.148248,-9.269443,0.838953,-8.011714,-4.446239,0.226448,-2.995336,2.151581,2.927547,1
11,-2.453417,-2.357677,-2.195637,-2.467136,-3.653804,-2.750825,14.136568,-0.427016,-0.601921,7.467353,2.633697,-1.708443,-0.675752,-0.886739,-0.961851,-2.642536,-0.897546,2.153328,-9.060692,-4.294428,-3.068556,-1.274909,1.294542,0.437517,1
12,-0.528985,-0.294786,-0.320981,0.973593,-1.368754,-0.356731,13.83176,0.528941,-0.756716,10.129102,5.550048,-4.12254,1.077121,0.753276,0.420922,-18.019136,-15.206439,-0.272675,-20.679676,-8.775002,-2.238322,-14.750892,-4.202369,0.500389,1
13,-2.143602,-1.110068,-1.003089,-0.282155,-0.733988,-0.584595,16.687407,1.699496,0.889994,4.425001,1.366219,-0.949021,0.867404,-0.378436,-1.886185,-8.792691,-7.003696,-2.405261,-15.357549,-8.389573,-5.632965,-9.050846,-3.154674,-2.625241,1
14,0.273257,1.660883,2.284076,1.504158,0.820462,1.255219,15.625772,0.371723,-1.188436,1.815438,-1.173696,-1.960787,-2.282546,-2.451286,-2.82288,-11.743443,-8.610255,-0.489058,-14.599299,-5.164949,-1.258232,-15.057467,-7.437538,-4.611798,1
15,-2.761198,-1.071056,-0.907855,0.382718,0.090277,0.261725,17.290497,1.634912,-0.982098,2.18336,-0.84642,-1.124599,0.420225,-0.451349,-1.11651,-4.77967,-3.195273,-0.554865,-14.884534,-6.383119,-3.83209,-7.140412,-3.114102,-1.757689,1
16,-2.530056,-1.580639,-1.693942,4.106811,0.705362,2.079871,16.093934,0.249902,-1.796559,5.314368,2.163593,-3.042009,-2.404911,-2.130199,-3.162818,-30.840917,-27.64866,-5.000981,-32.720325,-11.675688,-2.171327,-13.568508,-7.427408,1.079741,1
17,-1.661311,-1.235441,-0.766557,1.505546,-1.369463,-0.120415,11.751994,-0.803204,-0.997273,11.260894,6.290978,-1.282954,-1.011309,-0.024253,-0.667399,-25.49039,-22.792781,-5.257902,-19.6353,-11.090292,-3.401999,-13.451209,-7.690018,-2.600359,1
18,-2.466038,-2.058061,-2.348782,-0.608026,-1.420398,-1.035949,8.168742,-0.12684,-0.499694,10.068307,5.148839,-0.709776,0.529266,0.403656,0.557438,-4.173089,-2.349073,1.019356,-6.794707,-2.292849,-1.433105,-6.374206,-2.966839,-2.893944,1
19,-0.444531,-0.116011,-0.264022,-3.099807,-4.336823,-3.762394,13.731548,0.627344,0.000492,11.456966,6.777956,0.828503,4.331568,3.806133,2.913434,-7.470015,-5.276268,2.216918,-16.074987,-6.565868,-3.015063,-6.342892,-1.152723,0.051536,1
21,-3.705818,-4.624287,-4.6708,2.971578,1.070947,1.6614,10.564239,1.365643,-0.830282,11.134384,6.660103,-0.854621,-1.376515,-0.134041,-0.642466,-23.238261,-19.761515,-3.671463,-19.154234,-6.825234,-1.570362,-17.563816,-10.430521,-4.322205,1
22,1.212367,0.221095,0.500902,7.490509,-2.320454,1.030499,13.553039,2.226375,0.722701,13.858933,8.098944,-5.488351,-1.878942,-1.576947,-2.515466,-37.423613,-33.207634,-4.857216,-27.991263,-13.864672,0.523884,-32.076748,-12.61472,-0.997524,1
23,-2.48479,-1.923007,-2.730586,-2.571789,-3.10288,-3.081076,7.66147,1.080411,0.102754,6.26361,2.933292,-0.138977,-3.092212,-2.830115,-3.251033,-7.846416,-5.33327,2.393367,-11.06609,-4.22763,-1.218487,-8.702368,-3.459592,-1.498118,1
24,3.814781,3.82957,4.035134,0.678299,0.193272,0.167417,9.773906,1.013859,-1.145589,2.799348,1.311498,0.893916,-1.56018,-1.523665,-1.804954,-7.652759,-6.284382,-1.424622,-7.484068,-1.571521,0.183902,-5.974844,-1.397966,-0.537957,1
25,0.456891,1.05235,1.310292,1.01097,0.771289,0.852148,10.346064,1.566485,-0.358809,4.07078,1.959508,0.633168,-1.172041,-1.398366,-1.603504,-9.850179,-7.132781,-0.970545,-11.499412,-3.655742,-1.497415,-4.544781,-1.073301,-0.599103,1
26,-1.284712,-1.812532,-1.234193,-3.408004,-5.871782,-5.070165,10.991014,1.363789,0.71288,15.292312,9.632341,-0.364265,-7.094576,-6.129729,-4.031135,-25.113028,-21.080263,-0.769464,-33.98227,-13.702232,-4.373183,-13.176546,-8.025694,-0.37594,1
27,-0.973512,-1.19264,-1.393612,0.294005,-1.991999,-1.251641,10.374707,1.988062,2.132329,9.401865,5.387144,0.185966,-0.627011,-0.656413,-0.448795,-7.496534,-5.552476,-2.184418,-14.319332,-8.289906,-4.74133,-7.226508,-4.4785,-2.596208,1
28,-2.257887,-2.912552,-2.869344,1.416679,0.136389,0.915761,8.781316,1.34731,1.17618,10.268504,6.790526,0.967837,1.544881,1.268437,1.349917,-13.934875,-10.997621,-3.968279,-6.855257,-5.018269,-0.051339,-0.898034,1.960079,2.477599,1
29,-0.286758,-1.322945,-1.021439,0.431819,-1.025305,-0.486592,10.739586,2.460768,2.158928,12.219225,8.633875,1.732645,0.640348,0.884807,1.002824,-19.014948,-16.196747,-3.42224,-20.520323,-7.702543,-2.984285,-9.551075,-4.75272,-1.430634,1
30,-1.635994,-1.393879,-1.258353,0.567687,-0.627284,0.044997,8.802665,1.606056,1.521932,9.016387,6.033405,1.956631,0.271491,0.05848,-0.465962,-4.980878,-2.905873,-0.713915,-4.915927,-3.162653,-0.770244,-1.746332,1.138397,1.628514,1
32,3.539056,4.619202,4.968246,2.505624,1.657247,2.044493,11.203986,-0.211663,-1.28603,0.710826,-0.285957,-0.432176,-0.784506,-1.586113,-1.960707,-5.355453,-3.739398,-2.491857,-6.627169,-2.233506,-2.246395,-7.081965,-2.980989,-2.287812,1
