repeat,repeat_seed,fold_seeds,acc,f1,auc,precision,recall
1,42,"[4200, 4201, 4202, 4203, 4204]",0.8210826210826211,0.856902852049911,0.8611096256684492,0.8294762641898863,0.8882352941176471
2,43,"[4300, 4301, 4302, 4303, 4304]",0.7988603988603988,0.8386181139122316,0.8635160427807487,0.8092063492063492,0.8764705882352942
3,44,"[4400, 4401, 4402, 4403, 4404]",0.776068376068376,0.8271295606047928,0.8564304812834225,0.7775623885918004,0.8889705882352942
4,45,"[4500, 4501, 4502, 4503, 4504]",0.798860398860399,0.8434068577644428,0.8580280748663102,0.8287698412698411,0.8757352941176471
5,46,"[4600, 4601, 4602, 4603, 4604]",0.8136752136752137,0.8534907902554961,0.8664505347593584,0.813028895768834,0.9007352941176471
6,47,"[4700, 4701, 4702, 4703, 4704]",0.8065527065527066,0.8526448027376821,0.8503609625668448,0.7915209592608974,0.9257352941176471
7,48,"[4800, 4801, 4802, 4803, 4804]",0.7914529914529915,0.8382949125596184,0.8784224598930482,0.7975,0.8882352941176471
8,49,"[4900, 4901, 4902, 4903, 4904]",0.7911680911680911,0.8421147429680239,0.8502139037433155,0.8117535014005602,0.9007352941176471
9,50,"[5000, 5001, 5002, 5003, 5004]",0.7834757834757834,0.832235669387372,0.8574799465240641,0.7837535014005602,0.8882352941176471
10,51,"[5100, 5101, 5102, 5103, 5104]",0.7988603988603988,0.8454148571795631,0.851524064171123,0.788780775468082,0.9132352941176471
